Customer_ID,Begin_Date,End_Date,Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies
0002-ORFBO,2019-05-01,2020-02-01,one year,yes,mailed check,65.6,593.3,female,0,yes,yes,no,dsl,no,yes,no,yes,yes,no
0003-MKNFE,2019-05-01,2020-02-01,month-to-month,no,mailed check,59.9,542.4,male,0,no,no,yes,dsl,no,no,no,no,no,yes
0004-TLHLJ,2019-09-01,2020-01-01,month-to-month,yes,electronic check,73.9,280.85,male,0,no,no,no,fiber optic,no,no,yes,no,no,no
0011-IGKFF,2018-12-01,2020-01-01,month-to-month,yes,electronic check,98.0,1237.85,male,1,yes,no,no,fiber optic,no,yes,yes,no,yes,yes
0013-EXCHZ,2019-09-01,2019-12-01,month-to-month,yes,mailed check,83.9,267.4,female,1,yes,no,no,fiber optic,no,no,no,yes,yes,no
0013-MHZWF,2019-05-01,2020-02-01,month-to-month,yes,credit card,69.4,571.45,female,0,no,yes,no,dsl,no,no,no,yes,yes,yes
0013-SMEOE,2014-03-01,2020-02-01,two year,yes,bank transfer,109.7,7904.25,female,1,yes,no,no,fiber optic,yes,yes,yes,yes,yes,yes
0014-BMAQU,2014-11-01,2020-02-01,two year,yes,credit card,84.65,5377.8,male,0,yes,no,yes,fiber optic,yes,no,no,yes,no,no
0015-UOCOJ,2019-07-01,2020-02-01,month-to-month,yes,electronic check,48.2,340.35,female,1,no,no,no,dsl,yes,no,no,no,no,no
0016-QLJIS,2014-09-01,2020-02-01,two year,yes,mailed check,90.45,5957.9,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes
0017-DINOC,,,,,,,,,,,,,dsl,yes,no,no,yes,yes,no
0017-IUDMW,2014-02-01,2020-02-01,two year,yes,credit card,116.8,8456.75,female,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes
0018-NYROU,2019-09-01,2020-02-01,month-to-month,yes,electronic check,68.95,351.5,female,0,yes,no,no,fiber optic,no,no,no,no,no,no
0019-EFAEP,2014-02-01,2020-02-01,two year,yes,bank transfer,101.3,7261.25,female,0,no,no,yes,fiber optic,yes,yes,yes,no,yes,no
0019-GFNTW,,,,,,,,,,,,,dsl,yes,yes,yes,yes,no,no
0020-INWCK,2014-03-01,2020-02-01,two year,yes,credit card,95.75,6849.4,female,0,yes,yes,yes,fiber optic,no,yes,yes,no,no,yes
0020-JDNXP,,,,,,,,,,,,,dsl,yes,no,yes,yes,yes,yes
0021-IKXGC,2020-01-01,2020-02-01,month-to-month,yes,electronic check,72.1,72.1,female,1,no,no,yes,fiber optic,no,no,no,no,no,no
0022-TCJCI,2016-03-01,2019-12-01,one year,no,credit card,62.7,2791.5,male,1,no,no,no,dsl,yes,no,yes,no,no,yes
0023-HGHWL,,,,,,,,,,,,,dsl,no,no,no,no,no,no
0023-UYUPN,2015-12-01,2020-02-01,one year,no,electronic check,25.2,1306.3,female,1,yes,no,yes,,,,,,,
0023-XUOPT,2018-10-01,2019-11-01,month-to-month,no,electronic check,94.1,1215.6,female,0,yes,no,yes,fiber optic,no,yes,yes,no,yes,no
0027-KWYKW,2018-03-01,2020-02-01,month-to-month,yes,electronic check,83.75,1849.95,female,0,yes,yes,yes,fiber optic,no,no,no,no,yes,no
0030-FNXPP,2019-11-01,2020-02-01,month-to-month,no,mailed check,19.85,57.2,female,0,no,no,no,,,,,,,
0031-PVLZI,2019-09-01,2020-01-01,month-to-month,no,mailed check,20.35,76.35,female,0,yes,yes,no,,,,,,,
0032-PGELS,,,,,,,,,,,,,dsl,yes,no,no,no,no,no
0036-IHMOT,2015-07-01,2020-02-01,one year,yes,bank transfer,103.7,5656.75,female,0,yes,yes,no,fiber optic,no,yes,yes,yes,yes,yes
0040-HALCW,2015-08-01,2020-02-01,two year,no,credit card,20.4,1090.6,male,0,yes,yes,no,,,,,,,
0042-JVWOJ,2017-12-01,2020-02-01,one year,yes,bank transfer,19.6,471.85,male,0,no,no,no,,,,,,,
0042-RLHYP,2014-05-01,2020-02-01,two year,no,bank transfer,19.7,1396.9,female,0,yes,yes,no,,,,,,,
0048-LUMLS,2017-01-01,2020-02-01,one year,no,credit card,91.2,3247.55,male,0,yes,yes,no,fiber optic,no,no,no,no,yes,yes
0048-PIHNL,2016-01-01,2020-02-01,one year,no,bank transfer,20.45,900.9,female,0,yes,no,no,,,,,,,
0052-DCKON,2014-08-01,2020-02-01,one year,no,bank transfer,115.8,7942.15,male,0,yes,no,yes,fiber optic,yes,yes,yes,yes,yes,yes
0052-YNYOT,2014-07-01,2020-02-01,one year,no,electronic check,20.55,1343.4,female,0,no,no,no,,,,,,,
0056-EPFBG,,,,,,,,,,,,,dsl,yes,no,yes,yes,no,no
0057-QBUQH,2016-07-01,2020-02-01,two year,yes,electronic check,25.1,1070.15,female,0,no,yes,yes,,,,,,,
0058-EVZWM,2015-07-01,2020-02-01,month-to-month,yes,bank transfer,89.8,4959.6,female,0,yes,no,yes,fiber optic,yes,no,no,no,yes,no
0060-FUALY,2015-03-01,2020-02-01,month-to-month,yes,electronic check,94.75,5597.65,female,0,yes,no,yes,fiber optic,yes,yes,no,no,yes,no
0064-SUDOG,2019-02-01,2020-02-01,two year,no,bank transfer,20.3,224.5,female,0,yes,yes,no,,,,,,,
0064-YIJGF,2017-11-01,2020-02-01,month-to-month,yes,bank transfer,75.75,1929.0,male,0,yes,yes,yes,fiber optic,no,no,no,no,no,no
0067-DKWBL,2019-10-01,2019-12-01,month-to-month,yes,electronic check,49.25,91.1,male,1,no,no,no,dsl,yes,no,no,no,no,no
0068-FIGTF,2017-11-01,2020-02-01,one year,no,mailed check,78.2,2078.95,female,0,no,no,no,dsl,no,yes,yes,yes,yes,yes
