Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Year,Month,Day,dow
one year,yes,mailed check,65.6,593.3,female,0,yes,yes,no,dsl,no,yes,no,yes,yes,no,2019,5,1,2
month-to-month,no,mailed check,59.9,542.4,male,0,no,no,yes,dsl,no,no,no,no,no,yes,2019,5,1,2
month-to-month,yes,electronic check,73.9,280.85,male,0,no,no,no,fiber optic,no,no,yes,no,no,no,2019,9,1,6
month-to-month,yes,electronic check,98.0,1237.85,male,1,yes,no,no,fiber optic,no,yes,yes,no,yes,yes,2018,12,1,5
month-to-month,yes,credit card,69.4,571.45,female,0,no,yes,no,dsl,no,no,no,yes,yes,yes,2019,5,1,2
two year,yes,bank transfer,109.7,7904.25,female,1,yes,no,no,fiber optic,yes,yes,yes,yes,yes,yes,2014,3,1,5
two year,yes,credit card,84.65,5377.8,male,0,yes,no,yes,fiber optic,yes,no,no,yes,no,no,2014,11,1,5
month-to-month,yes,electronic check,48.2,340.35,female,1,no,no,no,dsl,yes,no,no,no,no,no,2019,7,1,0
two year,yes,mailed check,90.45,5957.9,female,0,yes,yes,yes,dsl,yes,yes,yes,yes,yes,yes,2014,9,1,0
two year,yes,credit card,116.8,8456.75,female,0,yes,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,2014,2,1,5
month-to-month,yes,electronic check,68.95,351.5,female,0,yes,no,no,fiber optic,no,no,no,no,no,no,2019,9,1,6
two year,yes,bank transfer,101.3,7261.25,female,0,no,no,yes,fiber optic,yes,yes,yes,no,yes,no,2014,2,1,5
two year,yes,credit card,95.75,6849.4,female,0,yes,yes,yes,fiber optic,no,yes,yes,no,no,yes,2014,3,1,5
one year,no,electronic check,25.2,1306.3,female,1,yes,no,yes,no,no,no,no,no,no,no,2015,12,1,1
month-to-month,yes,electronic check,83.75,1849.95,female,0,yes,yes,yes,fiber optic,no,no,no,no,yes,no,2018,3,1,3
month-to-month,no,mailed check,19.85,57.2,female,0,no,no,no,no,no,no,no,no,no,no,2019,11,1,4
