Type,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Gender,Senior_Citizen,Partner,Dependents,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Year,Month,Day,dow
0.0,1.0,0.0,0.34206262837569534,-0.8723322998187828,0.0,-0.4067735777920399,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3115534476085149,-0.11649720522573294,0.0,0.857784180012439
2.0,0.0,3.0,-1.2174501825453143,-0.31183962362017054,0.0,-0.4067735777920399,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7810334050409682,-0.9595080758766211,0.0,1.3559463240843466
2.0,1.0,2.0,0.7134923357086171,1.3232927573313364,0.0,-0.4067735777920399,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.304180118203339,-0.11649720522573294,0.0,1.3559463240843466
0.0,1.0,2.0,0.6593767492097808,-0.10256005847624429,0.0,-0.4067735777920399,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7884067344461442,0.16450641832456311,0.0,1.3559463240843466
0.0,1.0,2.0,1.3063039878095057,-0.622500292986068,1.0,-0.4067735777920399,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.3115534476085149,-0.397500828776029,0.0,-0.6367022522032838
1.0,0.0,1.0,-1.2445079757947324,-1.3133401031843575,0.0,-0.4067735777920399,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3115534476085149,-0.9595080758766211,0.0,0.3596220359405314
0.0,1.0,2.0,0.44045460382812496,-0.43711770240874925,0.0,2.4583700972613354,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7884067344461442,1.5695245360760435,0.0,0.857784180012439
1.0,0.0,0.0,-0.47951036665209207,-0.25825246853141437,0.0,-0.4067735777920399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.7884067344461442,-0.9595080758766211,0.0,-0.13854010813137618
1.0,1.0,2.0,1.2300502068338728,0.5245544862110919,1.0,2.4583700972613354,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.2652600212837734,-0.6785044523263251,0.0,0.857784180012439
0.0,1.0,0.0,0.10346208790355348,-1.3089951987177015,0.0,2.4583700972613354,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3115534476085149,1.2885209125257473,0.0,0.3596220359405314
2.0,1.0,1.0,1.446512552829218,1.6201945625528236,1.0,-0.4067735777920399,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.304180118203339,-1.2405116994269172,0.0,0.857784180012439
0.0,0.0,3.0,-0.8189626819629743,0.18637608855637364,0.0,-0.4067735777920399,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.25788669187859736,0.16450641832456311,0.0,0.3596220359405314
1.0,1.0,0.0,-1.2420481764084217,-0.8216417477077972,0.0,-0.4067735777920399,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652600212837734,-0.6785044523263251,0.0,0.857784180012439
1.0,1.0,0.0,0.16741687194763274,-0.1126981688984414,1.0,-0.4067735777920399,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7884067344461442,-0.397500828776029,0.0,-1.1348643962751914
1.0,0.0,1.0,1.0209672589974599,0.8873540091768602,0.0,-0.4067735777920399,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.25788669187859736,-0.9595080758766211,0.0,-1.1348643962751914
0.0,0.0,2.0,1.0135878608385276,0.6186940829886366,1.0,2.4583700972613354,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.25788669187859736,1.5695245360760435,0.0,-0.13854010813137618
0.0,0.0,0.0,0.43553500505550347,0.16103081250088083,0.0,-0.4067735777920399,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2652600212837734,1.5695245360760435,0.0,0.3596220359405314
0.0,1.0,0.0,0.11822088422141792,0.34786170456708493,0.0,2.4583700972613354,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652600212837734,-1.2405116994269172,0.0,-0.6367022522032838
2.0,0.0,1.0,1.4686507473060146,1.6093323013861838,1.0,2.4583700972613354,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.304180118203339,-0.6785044523263251,0.0,-1.1348643962751914
1.0,0.0,2.0,0.3838792179429779,-0.16918192696496823,1.0,-0.4067735777920399,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.7884067344461442,0.7265136654251553,0.0,0.857784180012439
0.0,0.0,2.0,-1.249427574567354,-1.6775879276390113,1.0,-0.4067735777920399,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3115534476085149,1.5695245360760435,0.0,1.3559463240843466
2.0,1.0,2.0,0.46013299891861087,1.2334980650204477,1.0,-0.4067735777920399,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.304180118203339,-0.9595080758766211,0.0,0.857784180012439
0.0,1.0,0.0,0.6667561473687131,0.06109800976779494,1.0,-0.4067735777920399,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.7884067344461442,-0.6785044523263251,0.0,1.3559463240843466
0.0,1.0,1.0,1.2128316111296975,1.479709318130949,1.0,2.4583700972613354,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-1.304180118203339,0.16450641832456311,0.0,-1.1348643962751914
1.0,1.0,3.0,0.7553089252758998,0.5231061847222066,0.0,-0.4067735777920399,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.25788669187859736,1.5695245360760435,0.0,-0.13854010813137618
2.0,0.0,3.0,-1.2445079757947324,-1.114922799207071,1.0,-0.4067735777920399,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7884067344461442,-0.11649720522573294,0.0,0.3596220359405314
2.0,0.0,1.0,-1.2445079757947324,-0.3342882966978928,1.0,-0.4067735777920399,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.304180118203339,1.5695245360760435,0.0,-1.633026540347099
0.0,1.0,2.0,0.5240877829626901,-1.484963829617266,0.0,-0.4067735777920399,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3115534476085149,1.5695245360760435,0.0,1.3559463240843466
1.0,0.0,1.0,-1.2445079757947324,-0.9389541683075068,1.0,-0.4067735777920399,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652600212837734,1.2885209125257473,0.0,-0.6367022522032838
1.0,1.0,0.0,-0.044125875275090966,0.9206649434212222,0.0,2.4583700972613354,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.304180118203339,0.4455100418748592,0.0,0.3596220359405314
2.0,1.0,0.0,0.3297636314441416,0.8395600600436453,1.0,2.4583700972613354,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-0.7810334050409682,-0.397500828776029,0.0,0.3596220359405314
2.0,0.0,3.0,-1.2272893800905573,-1.3270989673287679,1.0,-0.4067735777920399,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3115534476085149,-0.9595080758766211,0.0,0.3596220359405314
2.0,0.0,3.0,-1.2740255684304613,-1.4226868655951979,1.0,-0.4067735777920399,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3115534476085149,0.16450641832456311,0.0,-1.633026540347099
1.0,1.0,0.0,-1.2838647659757043,-0.8238141999411251,0.0,-0.4067735777920399,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652600212837734,-1.2405116994269172,0.0,-0.6367022522032838
2.0,0.0,3.0,0.39125861610191015,1.003942279032127,0.0,-0.4067735777920399,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.304180118203339,1.5695245360760435,0.0,-1.633026540347099
1.0,0.0,2.0,1.0603240491784316,-0.4009101651866167,1.0,-0.4067735777920399,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.3115534476085149,-1.2405116994269172,0.0,0.3596220359405314
2.0,0.0,1.0,-0.37619879242704096,0.8265253466436775,1.0,-0.4067735777920399,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.304180118203339,-0.11649720522573294,0.0,1.3559463240843466
1.0,1.0,0.0,0.7454697277306568,1.2834644663869905,0.0,-0.4067735777920399,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.304180118203339,0.4455100418748592,0.0,0.3596220359405314
2.0,0.0,0.0,-1.2740255684304613,-0.29373585500910426,0.0,-0.4067735777920399,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.304180118203339,-0.6785044523263251,0.0,-1.1348643962751914
2.0,1.0,2.0,1.7195502847097102,1.579642120864035,1.0,-0.4067735777920399,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.304180118203339,0.16450641832456311,0.0,-1.1348643962751914
2.0,0.0,0.0,0.09362289035831052,1.0966335743207865,1.0,2.4583700972613354,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.304180118203339,-1.2405116994269172,0.0,0.857784180012439
2.0,1.0,0.0,1.407155762648246,1.4536398913310138,1.0,-0.4067735777920399,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-1.304180118203339,0.7265136654251553,0.0,-1.633026540347099
