Customer_ID,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies
7590-VHVEG,dsl,no,yes,no,no,no,no
5575-GNVDE,dsl,yes,no,yes,no,no,no
3668-QPYBK,dsl,yes,yes,no,no,no,no
7795-CFOCW,dsl,yes,no,yes,yes,no,no
9237-HQITU,fiber optic,no,no,no,no,no,no
9305-CDSKC,fiber optic,no,no,yes,no,yes,yes
1452-KIOVK,fiber optic,no,yes,no,no,yes,no
6713-OKOMC,dsl,yes,no,no,no,no,no
7892-POOKP,fiber optic,no,no,yes,yes,yes,yes
6388-TABGU,dsl,yes,yes,no,no,no,no
9763-GRSKD,dsl,yes,no,no,no,no,no
8091-TTVAX,fiber optic,no,no,yes,no,yes,yes
0280-XJGEX,fiber optic,no,yes,yes,no,yes,yes
5129-JLPIS,fiber optic,yes,no,yes,yes,yes,yes
3655-SNQYZ,fiber optic,yes,yes,yes,yes,yes,yes
9959-WOFKT,fiber optic,yes,no,yes,no,yes,yes
4190-MFLUW,dsl,no,no,yes,yes,no,no
4183-MYFRB,fiber optic,no,yes,yes,no,no,yes
8779-QRDMV,dsl,no,no,yes,no,no,yes
3638-WEABW,dsl,no,yes,no,yes,no,no
6322-HRPFA,dsl,yes,yes,no,yes,no,no
6865-JZNKO,dsl,yes,yes,no,no,no,no
6467-CHFZW,fiber optic,no,yes,no,no,yes,yes
8665-UTDHZ,dsl,no,yes,no,no,no,no
5248-YGIJN,dsl,yes,yes,yes,yes,yes,yes
8773-HHUOZ,dsl,no,no,no,no,yes,yes
3841-NFECX,fiber optic,yes,yes,yes,yes,no,no
4929-XIHVW,fiber optic,no,no,yes,no,yes,yes
6827-IEAUQ,dsl,yes,yes,yes,yes,no,no
3413-BMNZE,dsl,no,no,no,no,no,no
6234-RAAPL,fiber optic,yes,yes,no,yes,yes,no
6047-YHPVI,fiber optic,no,no,no,no,no,no
6572-ADKRS,fiber optic,no,no,yes,no,no,no
5380-WJKOV,fiber optic,no,yes,yes,no,yes,yes
8168-UQWWF,fiber optic,no,no,yes,no,yes,yes
8865-TNMNX,dsl,no,yes,no,no,no,no
9489-DEDVP,dsl,yes,yes,no,no,yes,no
4671-VJLCL,dsl,yes,yes,yes,yes,yes,no
4080-IIARD,dsl,yes,yes,no,yes,yes,no
3714-NTNFO,fiber optic,no,no,no,no,no,yes
5948-UJZLF,dsl,no,yes,no,no,no,no
7760-OYPDY,fiber optic,no,no,no,no,yes,no
7639-LIAYI,dsl,yes,no,no,yes,yes,yes
2954-PIBKO,dsl,yes,no,yes,yes,no,no
8012-SOUDQ,fiber optic,no,yes,no,no,yes,no
9420-LOJKX,fiber optic,yes,yes,no,no,yes,yes
6575-SUVOI,dsl,yes,no,no,yes,yes,no
7495-OOKFY,fiber optic,no,yes,no,no,no,no
4667-QONEA,dsl,yes,yes,yes,yes,no,yes
1658-BYGOY,fiber optic,no,no,no,no,yes,yes
8769-KKTPH,fiber optic,yes,no,no,no,yes,yes
5067-XJQFU,fiber optic,no,yes,yes,yes,yes,yes
5954-BDFSG,fiber optic,no,no,yes,yes,yes,yes
0434-CSFON,fiber optic,no,no,yes,no,yes,yes
1215-FIGMP,fiber optic,no,yes,no,no,yes,no
0526-SXDJP,dsl,yes,yes,yes,no,no,no
0557-ASKVU,dsl,no,no,yes,yes,no,no
5698-BQJOH,fiber optic,no,no,no,no,yes,yes
5122-CYFXA,dsl,no,yes,no,yes,yes,yes
8627-ZYGSZ,fiber optic,no,yes,no,no,no,no
3410-YOQBQ,dsl,no,yes,yes,yes,yes,yes
7410-OIEDU,fiber optic,yes,no,yes,no,no,no
2273-QCKXA,dsl,no,no,no,yes,no,no
1891-QRQSA,fiber optic,yes,no,yes,yes,yes,yes
5630-AHZIL,dsl,yes,no,no,yes,no,yes
2673-CXQEU,fiber optic,yes,yes,yes,no,yes,yes
6416-JNVRK,dsl,no,no,no,no,no,yes
5590-ZSKRV,dsl,yes,yes,no,no,no,no
0191-ZHSKZ,dsl,yes,yes,no,no,yes,yes
5919-TMRGD,fiber optic,no,no,no,no,yes,no
8108-UXRQN,dsl,yes,no,no,no,yes,yes
9191-MYQKX,fiber optic,no,no,yes,no,no,no
9919-YLNNG,fiber optic,no,yes,yes,yes,yes,yes
4445-ZJNMU,fiber optic,no,yes,no,no,yes,yes
4808-YNLEU,dsl,yes,no,no,no,yes,no
3016-KSVCP,dsl,no,no,no,no,yes,no
4767-HZZHQ,fiber optic,no,yes,yes,no,no,no
2424-WVHPL,fiber optic,no,no,no,yes,no,no
7233-PAHHL,dsl,yes,no,yes,yes,yes,yes
6067-NGCEU,fiber optic,yes,yes,yes,no,yes,yes
9848-JQJTX,fiber optic,no,yes,yes,no,yes,yes
8637-XJIVR,fiber optic,yes,no,no,no,no,no
9803-FTJCG,dsl,yes,yes,no,yes,no,no
4598-XLKNJ,fiber optic,no,yes,yes,no,yes,yes
7123-WQUHX,fiber optic,no,no,yes,yes,yes,no
5386-THSLQ,dsl,no,yes,yes,no,yes,no
3192-NQECA,fiber optic,no,yes,yes,yes,yes,yes
6180-YBIQI,dsl,no,no,no,no,no,no
6728-DKUCO,fiber optic,yes,yes,no,no,yes,yes
9750-BOOHV,dsl,yes,no,no,no,no,no
8597-CWYHH,fiber optic,no,no,no,no,yes,yes
0486-HECZI,fiber optic,yes,yes,no,no,yes,no
4549-ZDQYY,dsl,yes,no,yes,yes,no,no
5712-AHQNN,fiber optic,no,yes,yes,no,yes,no
4846-WHAFZ,fiber optic,no,no,no,no,no,no
5256-SKJGO,dsl,no,yes,no,yes,yes,yes
3071-VBYPO,fiber optic,yes,yes,no,no,yes,no
9560-BBZXK,dsl,yes,no,no,no,no,no
5299-RULOA,fiber optic,yes,no,no,no,yes,yes
9445-ZUEQE,fiber optic,no,yes,no,yes,no,no
1091-SOZGA,fiber optic,no,no,yes,no,yes,yes
0404-SWRVG,fiber optic,no,no,no,no,no,no
6497-TILVL,dsl,yes,no,no,no,no,no
4622-YNKIJ,fiber optic,yes,no,no,yes,yes,no
4412-YLTKF,fiber optic,no,no,yes,no,no,no
2639-UGMAZ,dsl,yes,yes,no,no,yes,yes
2876-GZYZC,fiber optic,no,no,no,no,no,yes
6207-WIOLX,dsl,yes,yes,yes,no,yes,yes
8587-XYZSF,dsl,no,no,no,yes,no,no
3091-FYHKI,dsl,no,no,no,no,no,yes
2372-HWUHI,dsl,no,no,no,no,no,no
7850-VWJUU,fiber optic,yes,no,no,no,no,no
0390-DCFDQ,fiber optic,no,no,no,no,no,no
3146-MSEGF,dsl,yes,yes,yes,yes,yes,yes
4080-OGPJL,dsl,yes,no,no,yes,no,yes
1095-WGNGG,fiber optic,no,yes,no,no,yes,yes
2636-SJDOU,fiber optic,yes,yes,no,no,no,no
5716-EZXZN,fiber optic,yes,yes,no,yes,yes,no
2135-RXIHG,dsl,no,no,no,no,no,no
6440-DKQGE,dsl,no,yes,yes,no,yes,no
3466-BYAVD,dsl,no,yes,yes,yes,no,yes
3780-YVMFA,dsl,no,no,no,yes,yes,yes
3874-EQOEP,fiber optic,no,no,no,no,yes,yes
1679-JRFBR,fiber optic,yes,yes,yes,no,yes,yes
9073-ZZIAY,dsl,yes,yes,yes,yes,yes,yes
6551-GNYDG,fiber optic,no,no,no,no,no,yes
9167-APMXZ,fiber optic,no,no,no,no,yes,no
6371-NZYEG,dsl,yes,no,yes,no,yes,no
8992-VONJD,dsl,yes,yes,no,no,no,no
0867-MKZVY,fiber optic,yes,no,no,no,no,no
4482-EWFMI,fiber optic,no,no,no,no,no,no
4648-YPBTM,dsl,no,yes,yes,yes,no,yes
3376-BMGFE,fiber optic,no,no,no,no,no,no
5997-OPVFA,dsl,yes,yes,yes,yes,yes,yes
3445-HXXGF,dsl,no,yes,yes,no,no,yes
7654-YWJUF,fiber optic,yes,no,yes,yes,no,no
1875-QIVME,fiber optic,no,no,yes,yes,yes,yes
6727-IOTLZ,dsl,no,yes,yes,yes,yes,yes
0691-JVSYA,fiber optic,no,no,yes,no,yes,yes
2656-FMOKZ,fiber optic,no,no,no,no,no,no
2070-FNEXE,fiber optic,yes,no,no,no,no,no
5947-SGKCL,fiber optic,no,yes,yes,no,yes,yes
6317-YPKDH,dsl,no,yes,no,no,no,no
6582-OIVSP,dsl,no,no,no,no,no,no
9367-WXLCH,fiber optic,no,no,no,no,no,yes
5524-KHNJP,dsl,yes,no,yes,no,yes,yes
1918-ZBFQJ,fiber optic,no,yes,yes,no,no,no
1024-GUALD,dsl,no,no,no,no,no,no
4827-USJHP,dsl,no,yes,no,no,no,no
8167-GJLRN,dsl,no,no,no,yes,no,no
8017-UVSZU,dsl,no,yes,no,no,no,no
7100-FQPRV,dsl,yes,no,no,yes,no,yes
2472-OVKUP,fiber optic,no,yes,yes,no,no,yes
9680-NIAUV,fiber optic,yes,yes,yes,no,yes,yes
2604-IJPDU,fiber optic,yes,yes,no,yes,yes,no
6168-YBYNP,fiber optic,no,yes,yes,yes,yes,yes
7255-SSFBC,fiber optic,no,yes,yes,yes,yes,yes
9323-HGFWY,fiber optic,yes,no,no,yes,yes,yes
8544-GOQSH,fiber optic,no,yes,no,yes,no,no
3363-DTIVD,fiber optic,yes,no,yes,no,yes,yes
7018-WBJNK,fiber optic,no,no,no,no,yes,no
9142-KZXOP,fiber optic,no,no,no,no,no,no
7674-YTAFD,fiber optic,no,yes,no,yes,no,no
6348-SNFUS,dsl,yes,yes,yes,yes,no,yes
1285-OKIPP,fiber optic,no,no,no,no,no,yes
7825-ECJRF,fiber optic,yes,no,yes,yes,yes,yes
1347-KTTTA,fiber optic,no,yes,yes,yes,yes,yes
7841-TZDMQ,dsl,no,no,no,no,no,no
4195-NZGTA,dsl,no,no,no,no,no,no
2504-DSHIH,fiber optic,no,no,no,no,no,yes
0699-NDKJM,dsl,yes,yes,yes,no,yes,yes
9286-BHDQG,dsl,yes,yes,yes,yes,no,no
0230-WEQUW,dsl,yes,yes,yes,yes,yes,no
2040-LDIWQ,dsl,no,yes,yes,yes,yes,yes
6496-JDSSB,fiber optic,no,no,no,no,yes,no
9408-SSNVZ,fiber optic,no,no,no,no,no,no
0742-MOABM,dsl,no,no,no,yes,no,no
6778-JFCMK,dsl,yes,no,no,no,yes,yes
6341-JVQGF,dsl,yes,no,yes,yes,yes,yes
2232-DMLXU,dsl,no,no,no,no,yes,no
4811-JBUVU,fiber optic,no,no,no,yes,no,yes
0945-TSONX,dsl,yes,yes,no,yes,yes,yes
2651-ZCBXV,fiber optic,yes,yes,no,yes,yes,yes
3316-UWXUY,fiber optic,yes,yes,no,yes,no,yes
8937-RDTHP,fiber optic,yes,no,no,no,no,yes
1251-KRREG,dsl,no,yes,no,no,no,no
0621-JFHOL,dsl,no,no,no,yes,no,no
9903-LYSAB,fiber optic,no,no,no,no,no,no
0094-OIFMO,fiber optic,no,yes,no,no,yes,yes
7301-ABVAD,dsl,no,yes,yes,yes,yes,yes
