Customer_ID,Gender,Senior_Citizen,Partner,Dependents
7590-VHVEG,female,0,yes,no
5575-GNVDE,male,0,no,no
3668-QPYBK,male,0,no,no
7795-CFOCW,male,0,no,no
9237-HQITU,female,0,no,no
9305-CDSKC,female,0,no,no
1452-KIOVK,male,0,no,yes
6713-OKOMC,female,0,no,no
7892-POOKP,female,0,yes,no
6388-TABGU,male,0,no,yes
9763-GRSKD,male,0,yes,yes
7469-LKBCI,male,0,no,no
8091-TTVAX,male,0,yes,no
0280-XJGEX,male,0,no,no
5129-JLPIS,male,0,no,no
3655-SNQYZ,female,0,yes,yes
8191-XWSZG,female,0,no,no
9959-WOFKT,male,0,no,yes
4190-MFLUW,female,0,yes,yes
4183-MYFRB,female,0,no,no
8779-QRDMV,male,1,no,no
1680-VDCWW,male,0,yes,no
1066-JKSGK,male,0,no,no
3638-WEABW,female,0,yes,no
6322-HRPFA,male,0,yes,yes
6865-JZNKO,female,0,no,no
6467-CHFZW,male,0,yes,yes
8665-UTDHZ,male,0,yes,yes
5248-YGIJN,male,0,yes,no
8773-HHUOZ,female,0,no,yes
3841-NFECX,female,1,yes,no
4929-XIHVW,male,1,yes,no
6827-IEAUQ,female,0,yes,yes
7310-EGVHZ,male,0,no,no
3413-BMNZE,male,1,no,no
6234-RAAPL,female,0,yes,yes
6047-YHPVI,male,0,no,no
6572-ADKRS,female,0,no,no
5380-WJKOV,male,0,no,no
8168-UQWWF,female,0,no,no
8865-TNMNX,male,0,yes,yes
9489-DEDVP,female,0,yes,yes
9867-JCZSP,female,0,yes,yes
4671-VJLCL,female,0,no,no
4080-IIARD,female,0,yes,no
3714-NTNFO,female,0,no,no
5948-UJZLF,male,0,no,no
7760-OYPDY,female,0,no,no
7639-LIAYI,male,0,no,no
2954-PIBKO,female,0,yes,yes
8012-SOUDQ,female,1,no,no
9420-LOJKX,female,0,no,no
6575-SUVOI,female,1,yes,no
7495-OOKFY,female,1,yes,no
4667-QONEA,female,1,yes,yes
1658-BYGOY,male,1,no,no
8769-KKTPH,female,0,yes,yes
5067-XJQFU,male,1,yes,yes
3957-SQXML,female,0,yes,yes
5954-BDFSG,female,0,no,no
0434-CSFON,female,0,yes,no
1215-FIGMP,male,0,no,no
0526-SXDJP,male,0,yes,no
0557-ASKVU,female,0,yes,yes
5698-BQJOH,female,0,no,no
5122-CYFXA,female,0,no,no
8627-ZYGSZ,male,0,yes,no
3410-YOQBQ,female,0,no,no
3170-NMYVV,female,0,yes,yes
7410-OIEDU,male,0,no,no
2273-QCKXA,male,0,no,no
0731-EBJQB,female,0,yes,yes
1891-QRQSA,male,1,yes,yes
8028-PNXHQ,male,0,yes,yes
5630-AHZIL,female,0,no,yes
