iter	Passed	Remaining
0	13	6629
1	23	5767
2	32	5355
3	41	5144
4	51	5060
5	60	4990
6	69	4921
7	78	4839
8	87	4765
9	96	4718
10	105	4667
11	114	4667
12	124	4652
13	133	4635
14	142	4618
15	152	4605
16	161	4593
17	171	4589
18	182	4610
19	192	4624
20	206	4705
21	218	4756
22	230	4781
23	242	4804
24	253	4809
25	266	4857
26	279	4889
27	291	4920
28	305	4958
29	319	5005
30	330	5006
31	346	5067
32	359	5081
33	371	5085
34	383	5089
35	398	5138
36	414	5185
37	428	5211
38	440	5202
39	452	5199
40	463	5189
41	476	5195
42	488	5196
43	502	5212
44	515	5213
45	529	5226
46	541	5219
47	554	5219
48	564	5192
49	576	5184
50	588	5176
51	600	5176
52	612	5163
53	624	5156
54	636	5152
55	649	5149
56	659	5128
57	671	5117
58	684	5113
59	695	5098
60	707	5094
61	718	5072
62	727	5049
63	739	5041
64	751	5030
65	763	5018
66	775	5009
67	786	4999
68	799	4993
69	810	4980
70	825	4985
71	838	4986
72	851	4982
73	864	4978
74	877	4970
75	889	4961
76	900	4948
77	912	4937
78	924	4926
79	935	4913
80	945	4889
81	958	4885
82	970	4873
83	980	4857
84	993	4851
85	1005	4841
86	1016	4826
87	1029	4817
88	1040	4803
89	1052	4795
90	1064	4783
91	1075	4771
92	1088	4764
93	1102	4759
94	1114	4751
95	1127	4743
96	1138	4731
97	1152	4727
98	1164	4716
99	1178	4713
100	1189	4697
101	1197	4672
102	1206	4650
103	1214	4624
104	1222	4599
105	1230	4574
106	1239	4551
107	1247	4528
108	1255	4502
109	1263	4481
110	1272	4459
111	1281	4438
112	1288	4414
113	1296	4388
114	1304	4367
115	1313	4347
116	1321	4326
117	1329	4304
118	1338	4284
119	1346	4264
120	1354	4242
121	1363	4223
122	1372	4205
123	1379	4184
124	1388	4165
125	1397	4147
126	1405	4127
127	1413	4107
128	1421	4088
129	1429	4068
130	1437	4050
131	1446	4033
132	1455	4016
133	1462	3995
134	1471	3978
135	1479	3960
136	1488	3943
137	1496	3924
138	1504	3906
139	1511	3886
140	1519	3868
141	1528	3853
142	1535	3834
143	1544	3817
144	1552	3800
145	1561	3784
146	1570	3770
147	1578	3753
148	1586	3736
149	1594	3721
150	1602	3704
151	1611	3688
152	1619	3672
153	1627	3656
154	1635	3640
155	1643	3623
156	1653	3612
157	1662	3598
158	1670	3583
159	1679	3568
160	1688	3554
161	1695	3538
162	1704	3524
163	1713	3511
164	1722	3497
165	1731	3483
166	1740	3469
167	1749	3456
168	1757	3443
169	1765	3427
170	1773	3412
171	1782	3398
172	1790	3384
173	1799	3371
174	1806	3355
175	1815	3341
176	1822	3326
177	1831	3312
178	1839	3299
179	1848	3286
180	1856	3272
181	1866	3261
182	1874	3247
183	1883	3234
184	1891	3220
185	1899	3207
186	1907	3193
187	1916	3180
188	1923	3165
189	1926	3142
190	1934	3130
191	1942	3116
192	1950	3102
193	1958	3089
194	1967	3077
195	1974	3062
196	1981	3048
197	1990	3036
198	1998	3023
199	2007	3011
200	2015	2998
201	2024	2987
202	2033	2975
203	2041	2962
204	2051	2951
205	2060	2940
206	2068	2927
207	2076	2915
208	2085	2903
209	2093	2891
210	2103	2880
211	2111	2868
212	2120	2856
213	2129	2845
214	2137	2832
215	2145	2820
216	2152	2807
217	2161	2795
218	2168	2782
219	2177	2771
220	2185	2758
221	2193	2747
222	2201	2734
223	2210	2723
224	2219	2712
225	2228	2701
226	2236	2689
227	2244	2677
228	2252	2666
229	2261	2654
230	2268	2642
231	2277	2631
232	2286	2619
233	2294	2608
234	2302	2596
235	2312	2586
236	2320	2574
237	2328	2563
238	2335	2549
239	2342	2537
240	2350	2526
241	2359	2515
242	2368	2504
243	2376	2493
244	2384	2481
245	2393	2470
246	2400	2458
247	2408	2447
248	2416	2435
249	2424	2424
250	2432	2412
251	2440	2401
252	2450	2392
253	2458	2381
254	2467	2370
255	2474	2358
256	2483	2348
257	2492	2338
258	2500	2326
